seq,user,role,gender,age
0,48cgGuhQ,senior operator,male, 36-40
1,xxBEtJE,senior operator,female, 31-35
2,8gz32fIA,operator,male, 31-35
3,2cvOv2v,senior operator,male, >40
4,6xOA6kOo3,senior operator,male, 36-40
5,wJxNbIJxNN,operator,male, 26-30
6,6FGQfFaap,operator,male, 26-30
7,4PBj1BPw,operator,male, 36-40
8,etkcoMvHM,operator,male, >40
9,4CKbREMC,operator,female, >40
10,mqi7ip,operator,male, >40
11,lbs8mLQBQ,supervisor,female, 26-30
12,cZqppiIcq,operator,male, >40
13,77hcqDUs1h,senior operator,male, >40
14,s9ifmku,operator,male, 36-40
15,FR4PPIFj,operator,male, 36-40
16,YBzhD46D6,operator,male, 26-30
17,IIS8aaX,senior operator,male, 36-40
18,RFDl0DaU2IL,supervisor,male, >40
19,GTMkTsnDQuQY,operator,male, 36-40
20,txWrSeSNWU,operator,male, >40
21,rN8achz38,operator,male, 36-40
22,8gewydzy,operator,male, 19-25
23,a0xUxqx,supervisor,female, 19-25
24,oDafga1Wq8p,operator,male, 19-25
25,Q5JMFJ,operator,male, 19-25
26,jpc7HtS,senior operator,male, 19-25
